2022-10-29 21:08:16,247 INFO    MainThread:12435 [wandb_setup.py:_flush():68] Configure stats pid to 12435
2022-10-29 21:08:16,248 INFO    MainThread:12435 [wandb_setup.py:_flush():68] Loading settings from /home/mohammad/.config/wandb/settings
2022-10-29 21:08:16,248 INFO    MainThread:12435 [wandb_setup.py:_flush():68] Loading settings from /home/mohammad/Projects/AraOCR/wandb/settings
2022-10-29 21:08:16,248 INFO    MainThread:12435 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2022-10-29 21:08:16,248 INFO    MainThread:12435 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'train.py', 'program': 'train.py'}
2022-10-29 21:08:16,248 INFO    MainThread:12435 [wandb_init.py:_log_setup():476] Logging user logs to /home/mohammad/Projects/AraOCR/wandb/run-20221029_210816-2lnhn0gm/logs/debug.log
2022-10-29 21:08:16,248 INFO    MainThread:12435 [wandb_init.py:_log_setup():477] Logging internal logs to /home/mohammad/Projects/AraOCR/wandb/run-20221029_210816-2lnhn0gm/logs/debug-internal.log
2022-10-29 21:08:16,248 INFO    MainThread:12435 [wandb_init.py:init():516] calling init triggers
2022-10-29 21:08:16,248 INFO    MainThread:12435 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {}
2022-10-29 21:08:16,248 INFO    MainThread:12435 [wandb_init.py:init():569] starting backend
2022-10-29 21:08:16,248 INFO    MainThread:12435 [wandb_init.py:init():573] setting up manager
2022-10-29 21:08:16,249 INFO    MainThread:12435 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-10-29 21:08:16,250 INFO    MainThread:12435 [wandb_init.py:init():580] backend started and connected
2022-10-29 21:08:16,251 INFO    MainThread:12435 [wandb_init.py:init():658] updated telemetry
2022-10-29 21:08:16,259 INFO    MainThread:12435 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2022-10-29 21:08:18,295 INFO    MainThread:12435 [wandb_run.py:_on_init():2000] communicating current version
2022-10-29 21:08:18,750 INFO    MainThread:12435 [wandb_run.py:_on_init():2004] got version response 
2022-10-29 21:08:18,750 INFO    MainThread:12435 [wandb_init.py:init():728] starting run threads in backend
2022-10-29 21:08:19,611 INFO    MainThread:12435 [wandb_run.py:_console_start():1980] atexit reg
2022-10-29 21:08:19,611 INFO    MainThread:12435 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2022-10-29 21:08:19,611 INFO    MainThread:12435 [wandb_run.py:_redirect():1903] Wrapping output streams.
2022-10-29 21:08:19,611 INFO    MainThread:12435 [wandb_run.py:_redirect():1925] Redirects installed.
2022-10-29 21:08:19,612 INFO    MainThread:12435 [wandb_init.py:init():765] run started, returning control to user process
2022-10-29 21:08:33,929 WARNING MsgRouterThr:12435 [router.py:message_loop():77] message_loop has been closed
